Competition,Day,Date,HomeAway,Opponent,Result,Position,Minute,AtThisPoint,TypeOfGoal
LaLiga,34,5/1/05,H,Albacete,2:0,CF,90'+1,2:0,Left-footed shot
Champions League,Group Stage,11/2/05,H,Panathinaikos,5:0,RW,34',3:0,Left-footed shot
LaLiga,13,11/27/05,H,Racing,4:1,RW,51',2:0,Left-footed shot
LaLiga,19,1/15/06,H,Athletic,2:1,RW,50',2:1,Left-footed shot
LaLiga,20,1/22/06,H,Alavés,2:0,CF,82',2:0,Left-footed shot
LaLiga,21,1/29/06,A,RCD Mallorca,0:3,CF,75',0:2,Right-footed shot
LaLiga,21,1/29/06,A,RCD Mallorca,0:3,CF,83',0:3,Left-footed shot
Copa del Rey,Quarter-Finals,2/1/06,H,Real Zaragoza,2:1,CF,42',1:0,Header
LaLiga,24,2/18/06,H,Real Betis,5:1,RW,84',5:1,Left-footed shot
LaLiga,1,8/28/06,A,Celta de Vigo,2:3,LW,59',1:2,Left-footed shot
LaLiga,2,9/9/06,H,CA Osasuna,3:0,RW,36',3:0,Left-footed shot
Champions League,Group Stage,9/27/06,A,Werder Bremen,1:1,RW,89',1:1,Left-footed shot
LaLiga,6,10/15/06,H,Sevilla FC,3:1,RW,80',3:1,Right-footed shot
LaLiga,26,3/10/07,H,Real Madrid,3:3,RW,11',1:1,Left-footed shot
LaLiga,26,3/10/07,H,Real Madrid,3:3,RW,28',2:2,Left-footed shot
LaLiga,26,3/10/07,H,Real Madrid,3:3,RW,90'+1,3:3,Left-footed shot
LaLiga,27,3/17/07,A,Recr. Huelva,0:4,RW,86',0:4,Left-footed shot
LaLiga,28,3/31/07,H,Dep. La Coruña,2:1,RW,45',1:0,Left-footed shot
Copa del Rey,Semi-Finals,4/18/07,H,Getafe,5:2,RW,29',2:0,Solo run
Copa del Rey,Semi-Finals,4/18/07,H,Getafe,5:2,RW,45',3:0,Left-footed shot
LaLiga,35,5/20/07,A,Atlético Madrid,0:6,RW,39',0:1,Left-footed shot
LaLiga,35,5/20/07,A,Atlético Madrid,0:6,RW,80',0:5,Left-footed shot
LaLiga,37,6/9/07,H,Espanyol,2:2,RW,43',1:1,Left-footed shot
LaLiga,37,6/9/07,H,Espanyol,2:2,RW,57',2:1,Right-footed shot
LaLiga,38,6/17/07,A,Gimnàstic,1:5,RW,34',0:2,Left-footed shot
LaLiga,38,6/17/07,A,Gimnàstic,1:5,RW,51',0:4,Left-footed shot
Champions League,Group Stage,9/19/07,H,Olympique Lyon,3:0,RW,82',2:0,Left-footed shot
LaLiga,4,9/22/07,H,Sevilla FC,2:1,RW,72',1:0,Left-footed shot
LaLiga,4,9/22/07,H,Sevilla FC,2:1,RW,79',2:0,Penalty
LaLiga,5,9/26/07,H,Real Zaragoza,4:1,RW,5',1:0,Left-footed shot
LaLiga,5,9/26/07,H,Real Zaragoza,4:1,RW,10',2:1,Left-footed shot
LaLiga,6,9/29/07,A,Levante,1:4,RW,50',0:4,Left-footed shot
Champions League,Group Stage,10/2/07,A,VfB Stuttgart,0:2,RW,66',0:2,Deflected shot on goal
LaLiga,7,10/7/07,H,Atlético Madrid,3:0,RW,19',2:0,Left-footed shot
LaLiga,9,10/28/07,H,UD Almería,2:0,RW,80',2:0,Penalty
Champions League,Group Stage,11/7/07,H,Rangers,2:0,RW,41',2:0,Left-footed shot
LaLiga,13,11/24/07,H,Recr. Huelva,3:0,RW,81',3:0,Penalty
Champions League,Group Stage,11/27/07,A,Olympique Lyon,2:2,RW,58',1:2,Penalty
Champions League,last 16,2/20/08,A,Celtic,2:3,RW,18',1:1,Left-footed shot
Champions League,last 16,2/20/08,A,Celtic,2:3,RW,79',2:3,Left-footed shot
LaLiga,25,2/24/08,H,Levante,5:1,RW,44',2:1,Left-footed shot
LaLiga,35,5/4/08,H,Valencia,6:0,RW,5',1:0,Penalty
LaLiga,2,9/13/08,H,Racing,1:1,RW,70',1:0,Penalty
LaLiga,3,9/21/08,A,Sporting Gijón,1:6,RW,85',1:5,Left-footed shot
LaLiga,3,9/21/08,A,Sporting Gijón,1:6,RW,89',1:6,Header
LaLiga,5,9/27/08,A,Espanyol,1:2,RW,90',1:2,Penalty
Champions League,Group Stage,10/1/08,A,Shakhtar D.,1:2,RW,87',1:1,Right-footed shot
Champions League,Group Stage,10/1/08,A,Shakhtar D.,1:2,RW,90'+2,1:2,Left-footed shot
LaLiga,6,10/4/08,H,Atlético Madrid,6:1,RW,8',3:0,Direct free kick
Champions League,Group Stage,10/22/08,A,FC Basel,0:5,CF,4',0:1,Left-footed shot
LaLiga,9,11/1/08,A,Málaga CF,1:4,RW,19',1:2,Left-footed shot
Champions League,Group Stage,11/4/08,H,FC Basel,1:1,RW,61',1:0,Left-footed shot
Copa del Rey,Fifth Round,11/12/08,H,Benidorm,1:0,RW,86',1:0,Penalty rebound
LaLiga,11,11/16/08,A,Recr. Huelva,0:2,RW,51',0:1,Left-footed shot
Champions League,Group Stage,11/26/08,A,Sporting CP,2:5,RW,49',0:3,Left-footed shot
LaLiga,13,11/29/08,A,Sevilla FC,0:3,RW,78',0:2,Left-footed shot
LaLiga,13,11/29/08,A,Sevilla FC,0:3,RW,90'+2,0:3,Left-footed shot
LaLiga,15,12/13/08,H,Real Madrid,2:0,RW,89',2:0,Left-footed shot
