Competition,Day,Date,HomeAway,Opponent,Result,Position,Minute,AtThisPoint,TypeOfGoal
Liga NOS,6,10/7/02,H,Moreirense,3:0,RW,34',2:0,Not Reported
Liga NOS,6,10/7/02,H,Moreirense,3:0,RW,90',3:0,Not Reported
Liga NOS,8,10/26/02,A,Boavista,1:2,RW,88',1:2,Not Reported
Taça de Portugal Placard,Fourth Round,11/24/02,H,Estarreja,4:1,RW,67',3:1,Not Reported
Taça de Portugal Placard,Fifth Round,12/18/02,H,Oliv. Hospital,8:1,RW,13',3:0,Not Reported
Premier League,11,11/1/03,H,Portsmouth,3:0,RW,80',2:0,Right-footed shot
FA Cup,Fifth Round,2/14/04,H,Man City,4:2,RW,74',3:0,Tap-in
Premier League,29,3/20/04,H,Spurs,3:0,RW,89',2:0,Right-footed shot
Premier League,32,4/10/04,A,Birmingham,1:2,RW,60',1:1,Header
Premier League,38,5/15/04,A,Aston Villa,0:2,RW,4',0:1,Right-footed shot
FA Cup,Final,5/22/04,H,Millwall,3:0,RW,44',1:0,Header
Premier League,16,12/4/04,H,Southampton,3:0,RW,87',3:0,Right-footed shot
FA Cup,Third Round,1/19/05,A,Exeter City,0:2,RW,9',0:1,Not Reported
Premier League,24,1/22/05,H,Aston Villa,3:1,RW,8',1:0,Right-footed shot
Premier League,25,2/1/05,A,Arsenal,2:4,RW,54',2:2,Not Reported
Premier League,25,2/1/05,A,Arsenal,2:4,RW,58',2:3,Not Reported
FA Cup,Fifth Round,2/19/05,A,Everton,0:2,RW,58',0:2,Tap-in
FA Cup,Sixth Round,3/12/05,A,Southampton,0:4,RW,45'+1,0:2,Left-footed shot
Premier League,30,3/19/05,H,Fulham,1:0,RW,21',1:0,Right-footed shot
FA Cup,Semi-Finals,4/17/05,A,Newcastle,1:4,RW,76',1:4,Right-footed shot
Champions League Qualifying,3rd round,8/9/05,H,Debrecen,3:0,RW,63',3:0,Right-footed shot
Premier League,11,10/29/05,A,Middlesbrough,4:1,RW,90',4:1,Header
EFL Cup,Round of 16,11/30/05,H,West Brom,3:1,RW,12',1:1,Penalty
Premier League,20,12/31/05,H,Bolton,4:1,RW,68',3:1,Right-footed shot
Premier League,20,12/31/05,H,Bolton,4:1,RW,90',4:1,Left-footed shot
Premier League,25,2/4/06,H,Fulham,4:2,RW,14',2:0,Direct free kick
Premier League,25,2/4/06,H,Fulham,4:2,RW,87',4:2,Right-footed shot
Premier League,26,2/11/06,A,Portsmouth,1:3,RW,38',0:2,Left-footed shot
Premier League,26,2/11/06,A,Portsmouth,1:3,RW,45',0:3,Right-footed shot
EFL Cup,Final,2/26/06,H,Wigan,4:0,RW,59',3:0,Not Reported
Premier League,28,3/6/06,A,Wigan,1:2,RW,74',1:1,Right-footed shot
Premier League,38,5/7/06,H,Charlton,4:0,RW,23',2:0,Left-footed shot
Premier League,1,8/20/06,H,Fulham,5:1,RW,19',4:0,Not Reported
Premier League,6,9/23/06,A,Reading,1:1,CF,73',1:1,Not Reported
Premier League,10,10/28/06,A,Bolton,0:4,RW,82',0:3,Not Reported
Premier League,11,11/4/06,H,Portsmouth,3:0,RW,10',2:0,Not Reported
Premier League,15,11/29/06,H,Everton,3:0,RW,39',1:0,Not Reported
Premier League,17,12/9/06,H,Man City,3:1,RW,84',3:1,Not Reported
Premier League,19,12/23/06,A,Aston Villa,0:3,RW,58',0:1,Not Reported
Premier League,19,12/23/06,A,Aston Villa,0:3,RW,85',0:3,Not Reported
Premier League,20,12/26/06,H,Wigan,3:1,RW,47',1:0,Not Reported
Premier League,20,12/26/06,H,Wigan,3:1,RW,50',2:0,Penalty rebound
Premier League,21,12/30/06,H,Reading,3:2,RW,58',2:1,Not Reported
Premier League,21,12/30/06,H,Reading,3:2,RW,77',3:1,Not Reported
Premier League,23,1/13/07,H,Aston Villa,3:1,RW,34',3:0,Header
Premier League,25,1/31/07,H,Watford,4:0,RW,12',1:0,Penalty
Premier League,26,2/3/07,A,Spurs,0:4,RW,45',0:1,Penalty
Premier League,28,2/24/07,A,Fulham,1:2,RW,88',1:2,Solo run
FA Cup,Sixth Round,3/10/07,A,Middlesbrough,2:2,RW,68',2:2,Penalty
FA Cup,6th round,3/19/07,H,Middlesbrough,1:0,RW,76',1:0,Penalty
Champions League,Quarter-Finals,4/10/07,H,AS Roma,7:1,RW,44',4:0,Right-footed shot
Champions League,Quarter-Finals,4/10/07,H,AS Roma,7:1,RW,49',5:0,Right-footed shot
FA Cup,Semi-Finals,4/14/07,A,Watford,1:4,RW,28',1:2,Right-footed shot
Champions League,Semi-Finals,4/24/07,H,AC Milan,3:2,LW,5',1:0,Header
Premier League,37,5/5/07,A,Man City,0:1,RW,34',0:1,Penalty
Champions League,Group Stage,9/19/07,A,Sporting CP,0:1,RW,62',0:1,Header
Premier League,8,9/29/07,A,Birmingham,0:1,RW,51',0:1,Not Reported
Premier League,9,10/6/07,H,Wigan,4:0,RW,59',2:0,Header
Premier League,9,10/6/07,H,Wigan,4:0,RW,76',3:0,Right-footed shot
Champions League,Group Stage,10/23/07,A,Dynamo Kyiv,2:4,RW,41',1:3,Penalty
Champions League,Group Stage,10/23/07,A,Dynamo Kyiv,2:4,RW,68',1:4,Header
Premier League,12,11/3/07,A,Arsenal,2:2,RW,82',1:2,Not Reported
Champions League,Group Stage,11/7/07,H,Dynamo Kyiv,4:0,RW,88',4:0,Right-footed shot
Premier League,13,11/11/07,H,Blackburn,2:0,RW,34',1:0,Header
Premier League,13,11/11/07,H,Blackburn,2:0,RW,35',2:0,Right-footed shot
Champions League,Group Stage,11/27/07,H,Sporting CP,2:1,RW,90'+3,2:1,Direct free kick
Premier League,15,12/3/07,H,Fulham,2:0,RW,10',1:0,Right-footed shot
Premier League,15,12/3/07,H,Fulham,2:0,RW,58',2:0,Header
Premier League,16,12/8/07,H,Derby,4:1,RW,90',4:1,Penalty
Premier League,18,12/23/07,H,Everton,2:1,RW,22',1:0,Left-footed shot
Premier League,18,12/23/07,H,Everton,2:1,RW,87',2:1,Penalty
Premier League,19,12/26/07,A,Sunderland,0:4,RW,45',0:3,Direct free kick
Premier League,20,12/29/07,A,West Ham,2:1,RW,14',0:1,Header
FA Cup,Third Round,1/5/08,A,Aston Villa,0:2,RW,81',0:1,Left-footed shot
Premier League,22,1/12/08,H,Newcastle,6:0,RW,48',1:0,Direct free kick
Premier League,22,1/12/08,H,Newcastle,6:0,RW,70',3:0,Right-footed shot
Premier League,22,1/12/08,H,Newcastle,6:0,RW,88',5:0,Left-footed shot
Premier League,23,1/19/08,A,Reading,0:2,RW,90'+2,0:2,Right-footed shot
FA Cup,Fourth Round,1/27/08,H,Spurs,3:1,RW,69',2:1,Penalty
FA Cup,Fourth Round,1/27/08,H,Spurs,3:1,RW,88',3:1,Right-footed shot
Premier League,24,1/30/08,H,Portsmouth,2:0,RW,10',1:0,Right-footed shot
Premier League,24,1/30/08,H,Portsmouth,2:0,RW,12',2:0,Direct free kick
Premier League,27,2/23/08,A,Newcastle,1:5,RW,45',0:2,Right-footed shot
Premier League,27,2/23/08,A,Newcastle,1:5,RW,56',0:3,Right-footed shot
Champions League,last 16,3/4/08,H,Olympique Lyon,1:0,RW,41',1:0,Left-footed shot
Premier League,29,3/15/08,A,Derby,0:1,RW,76',0:1,Right-footed shot
Premier League,30,3/19/08,H,Bolton,2:0,RW,8',1:0,Right-footed shot
Premier League,30,3/19/08,H,Bolton,2:0,RW,19',2:0,Direct free kick
Premier League,31,3/23/08,H,Liverpool,3:0,RW,79',2:0,Header
Premier League,32,3/29/08,H,Aston Villa,4:0,RW,16',1:0,Right-footed shot
Champions League,Quarter-Finals,4/1/08,A,AS Roma,0:2,RW,39',0:1,Header
Premier League,33,4/6/08,A,Middlesbrough,2:2,RW,9',0:1,Left-footed shot
Premier League,34,4/13/08,H,Arsenal,2:1,RW,53',1:1,Penalty
Premier League,37,5/3/08,H,West Ham,4:1,RW,3',1:0,Right-footed shot
Premier League,37,5/3/08,H,West Ham,4:1,RW,24',2:0,Right-footed shot
Premier League,38,5/11/08,A,Wigan,0:2,RW,32',0:1,Penalty
Champions League,Final,5/21/08,H,Chelsea,6:5  on pens,LW,26',1:0,Header
EFL Cup,Third Round,9/23/08,H,Middlesbrough,3:1,RW,25',1:0,Header
Premier League,6,9/27/08,H,Bolton,2:0,RW,59',1:0,Penalty
Premier League,8,10/18/08,H,West Brom,4:0,RW,69',2:0,Left-footed shot
Premier League,10,10/29/08,H,West Ham,2:0,RW,14',1:0,Left-footed shot
Premier League,10,10/29/08,H,West Ham,2:0,RW,30',2:0,Right-footed shot
Premier League,11,11/1/08,H,Hull City,4:3,RW,3',1:0,Left-footed shot
Premier League,11,11/1/08,H,Hull City,4:3,RW,43',3:1,Header
Premier League,13,11/15/08,H,Stoke City,5:0,RW,3',1:0,Direct free kick
Premier League,13,11/15/08,H,Stoke City,5:0,RW,88',5:0,Direct free kick
Club World Cup,Semi-Finals,12/18/08,A,Gamba Osaka,3:5,LW,45'+1,0:2,Header
EFL Cup,Semi-Finals,1/20/09,H,Derby,4:2,RW,89',4:1,Penalty
Premier League,23,1/27/09,A,West Brom,0:5,LW,65',0:4,Right-footed shot
Premier League,23,1/27/09,A,West Brom,0:5,LW,73',0:5,Right-footed shot
Premier League,24,1/31/09,H,Everton,1:0,LW,43',1:0,Penalty
FA Cup,Fifth Round,2/15/09,A,Derby,1:4,CF,68',1:3,Header
Premier League,26,2/21/09,H,Blackburn,2:1,RW,60',2:1,Direct free kick
Champions League,last 16,3/11/09,H,Inter,2:0,RW,49',2:0,Header
Premier League,29,3/14/09,H,Liverpool,1:4,RW,22',1:0,Penalty
Premier League,31,4/5/09,H,Aston Villa,3:2,RW,11',1:0,Direct free kick
Premier League,31,4/5/09,H,Aston Villa,3:2,RW,80',2:2,Right-footed shot
Champions League,Quarter-Finals,4/15/09,A,FC Porto,0:1,RW,6',0:1,Long distance kick
Premier League,34,4/25/09,H,Spurs,5:2,RW,57',1:2,Penalty
Premier League,34,4/25/09,H,Spurs,5:2,RW,68',3:2,Header
Champions League,Semi-Finals,5/5/09,A,Arsenal,1:3,CF,11',0:2,Direct free kick
Champions League,Semi-Finals,5/5/09,A,Arsenal,1:3,CF,61',0:3,Right-footed shot
Premier League,36,5/10/09,H,Man City,2:0,RW,17',1:0,Direct free kick
LaLiga,1,8/29/09,H,Dep. La Coruña,3:2,RW,34',2:1,Penalty
LaLiga,2,9/12/09,A,Espanyol,0:3,RW,90',0:3,Right-footed shot
Champions League,Group Stage,9/15/09,A,FC Zürich,2:5,LW,27',0:1,Direct free kick
Champions League,Group Stage,9/15/09,A,FC Zürich,2:5,LW,89',2:4,Direct free kick
LaLiga,3,9/20/09,H,Xerez CD,5:0,RW,1',1:0,Right-footed shot
LaLiga,3,9/20/09,H,Xerez CD,5:0,RW,75',2:0,Header
LaLiga,4,9/23/09,A,Villarreal,0:2,CF,2',0:1,Right-footed shot
Champions League,Group Stage,9/30/09,H,Marseille,3:0,LW,58',1:0,Left-footed shot
Champions League,Group Stage,9/30/09,H,Marseille,3:0,LW,64',3:0,Right-footed shot
LaLiga,13,12/5/09,H,UD Almería,4:2,CF,84',4:2,Right-footed shot
Champions League,Group Stage,12/8/09,A,Marseille,1:3,CF,5',0:1,Direct free kick
Champions League,Group Stage,12/8/09,A,Marseille,1:3,CF,80',1:3,Right-footed shot
LaLiga,15,12/19/09,H,Real Zaragoza,6:0,CF,50',5:0,Left-footed shot
LaLiga,19,1/24/10,H,Málaga CF,2:0,RW,35',1:0,Right-footed shot
LaLiga,19,1/24/10,H,Málaga CF,2:0,RW,39',2:0,Right-footed shot
LaLiga,22,2/13/10,A,Xerez CD,0:3,RW,69',0:2,Header
LaLiga,22,2/13/10,A,Xerez CD,0:3,RW,71',0:3,Left-footed shot
LaLiga,23,2/21/10,H,Villarreal,6:2,RW,18',1:0,Direct free kick
LaLiga,24,2/27/10,A,CD Tenerife,1:5,RW,78',1:4,Penalty
LaLiga,25,3/6/10,H,Sevilla FC,3:2,CF,59',1:2,Left-footed shot
Champions League,last 16,3/10/10,H,Olympique Lyon,1:1,LW,6',1:0,Left-footed shot
LaLiga,26,3/14/10,A,Real Valladolid,1:4,CF,29',0:1,Direct free kick
LaLiga,28,3/25/10,A,Getafe,2:4,RW,13',0:1,Direct free kick
LaLiga,28,3/25/10,A,Getafe,2:4,RW,36',0:4,Right-footed shot
LaLiga,30,4/4/10,A,Racing,0:2,RW,23',0:1,Penalty
LaLiga,32,4/15/10,A,UD Almería,1:2,RW,26',1:1,Left-footed shot
LaLiga,33,4/18/10,H,Valencia,2:0,CF,77',2:0,Right-footed shot
LaLiga,35,5/2/10,H,CA Osasuna,3:2,RW,25',1:1,Right-footed shot
LaLiga,35,5/2/10,H,CA Osasuna,3:2,RW,89',3:2,Header
LaLiga,36,5/5/10,A,RCD Mallorca,1:4,RW,26',1:1,Right-footed shot
LaLiga,36,5/5/10,A,RCD Mallorca,1:4,RW,56',1:2,Right-footed shot
LaLiga,36,5/5/10,A,RCD Mallorca,1:4,RW,71',1:3,Right-footed shot
LaLiga,37,5/8/10,H,Athletic,5:1,CF,21',1:0,Penalty
LaLiga,4,9/21/10,H,Espanyol,3:0,LW,28',1:0,Penalty
LaLiga,6,10/3/10,H,Dep. La Coruña,6:1,LW,4',1:0,Header
LaLiga,6,10/3/10,H,Dep. La Coruña,6:1,LW,89',6:1,Left-footed shot
